Employee Name,Activity Type,Date,Email,START_TIME,END_TIME
Luca Romano,Training,6/24/2025,luca.romano@endava.com,6/24/2025 13:47,6/24/2025 16:00
Marco Bianchi,Training,6/24/2025,marco.bianchi@endava.com,6/24/2025 13:57,6/24/2025 15:46
Giovanni Esposito,Training,6/24/2025,giovanni.esposito@endava.com,6/24/2025 13:49,6/24/2025 15:56
Antonio Russo,Training,6/24/2025,antonio.russo@endava.com,6/24/2025 13:56,6/24/2025 16:06
Francesco Greco,Training,6/24/2025,francesco.greco@endava.com,6/24/2025 13:54,6/24/2025 16:26
Matteo Conti,Training,6/24/2025,matteo.conti@endava.com,6/24/2025 14:00,6/24/2025 16:04
Alessandro Costa,Training,6/24/2025,alessandro.costa@endava.com,6/24/2025 13:53,6/24/2025 15:55
Giorgio Rinaldi,Training,6/24/2025,giorgio.rinaldi@endava.com,6/24/2025 13:55,6/24/2025 15:40
Nicola Moretti,Training,6/24/2025,nicola.moretti@endava.com,6/24/2025 13:45,6/24/2025 15:56
Luca Romano,Training,6/2/2025,luca.romano@endava.com,6/2/2025 13:57,6/2/2025 14:57
Marco Bianchi,Training,6/2/2025,marco.bianchi@endava.com,6/2/2025 13:55,6/2/2025 15:05
Giovanni Esposito,Training,6/2/2025,giovanni.esposito@endava.com,6/2/2025 14:02,6/2/2025 15:02
Antonio Russo,Training,6/2/2025,antonio.russo@endava.com,6/2/2025 14:05,6/2/2025 15:05
Francesco Greco,Training,6/2/2025,francesco.greco@endava.com,6/2/2025 14:05,6/2/2025 15:05
Matteo Conti,Training,6/2/2025,matteo.conti@endava.com,6/2/2025 13:50,6/2/2025 14:50
Alessandro Costa,Training,6/2/2025,alessandro.costa@endava.com,6/2/2025 13:51,6/2/2025 14:51
Giorgio Rinaldi,Training,6/2/2025,giorgio.rinaldi@endava.com,6/2/2025 13:51,6/2/2025 14:51
Stefano De Luca,Training,6/2/2025,stefano.de@endava.com,6/2/2025 14:00,6/2/2025 15:00
Nicola Moretti,Training,6/2/2025,nicola.moretti@endava.com,6/2/2025 13:54,6/2/2025 14:54
Luca Romano,Training,6/4/2025,luca.romano@endava.com,6/4/2025 13:54,6/4/2025 14:54
Marco Bianchi,Training,6/4/2025,marco.bianchi@endava.com,6/4/2025 13:56,6/4/2025 14:56
Giovanni Esposito,Training,6/4/2025,giovanni.esposito@endava.com,6/4/2025 14:02,6/4/2025 15:02
Antonio Russo,Training,6/4/2025,antonio.russo@endava.com,6/4/2025 13:52,6/4/2025 14:52
Francesco Greco,Training,6/4/2025,francesco.greco@endava.com,6/4/2025 13:50,6/4/2025 14:50
Matteo Conti,Training,6/4/2025,matteo.conti@endava.com,6/4/2025 14:02,6/4/2025 15:02
Alessandro Costa,Training,6/4/2025,alessandro.costa@endava.com,6/4/2025 14:05,6/4/2025 15:05
Giorgio Rinaldi,Training,6/4/2025,giorgio.rinaldi@endava.com,6/4/2025 14:01,6/4/2025 15:01
Stefano De Luca,Training,6/4/2025,stefano.de@endava.com,6/4/2025 14:03,6/4/2025 15:03
Nicola Moretti,Training,6/4/2025,nicola.moretti@endava.com,6/4/2025 14:00,6/4/2025 15:00
Luca Romano,Training,6/6/2025,luca.romano@endava.com,6/6/2025 13:56,6/6/2025 15:56
Marco Bianchi,Training,6/6/2025,marco.bianchi@endava.com,6/6/2025 13:51,6/6/2025 15:51
Giovanni Esposito,Training,6/6/2025,giovanni.esposito@endava.com,6/6/2025 14:04,6/6/2025 16:04
Antonio Russo,Training,6/6/2025,antonio.russo@endava.com,6/6/2025 13:52,6/6/2025 15:52
Francesco Greco,Training,6/6/2025,francesco.greco@endava.com,6/6/2025 13:51,6/6/2025 15:51
Matteo Conti,Training,6/6/2025,matteo.conti@endava.com,6/6/2025 14:00,6/6/2025 16:00
Alessandro Costa,Training,6/6/2025,alessandro.costa@endava.com,6/6/2025 13:58,6/6/2025 15:58
Giorgio Rinaldi,Training,6/6/2025,giorgio.rinaldi@endava.com,6/6/2025 13:56,6/6/2025 15:56
Stefano De Luca,Training,6/6/2025,stefano.de@endava.com,6/6/2025 13:50,6/6/2025 15:50
Nicola Moretti,Training,6/6/2025,nicola.moretti@endava.com,6/6/2025 13:52,6/6/2025 15:52
Luca Romano,Training,6/9/2025,luca.romano@endava.com,6/9/2025 13:52,6/9/2025 14:52
Marco Bianchi,Training,6/9/2025,marco.bianchi@endava.com,6/9/2025 14:02,6/9/2025 15:02
Giovanni Esposito,Training,6/9/2025,giovanni.esposito@endava.com,6/9/2025 13:50,6/9/2025 14:50
Antonio Russo,Training,6/9/2025,antonio.russo@endava.com,6/9/2025 14:05,6/9/2025 15:05
Francesco Greco,Training,6/9/2025,francesco.greco@endava.com,6/9/2025 14:00,6/9/2025 15:00
Matteo Conti,Training,6/9/2025,matteo.conti@endava.com,6/9/2025 13:56,6/9/2025 14:56
Alessandro Costa,Training,6/9/2025,alessandro.costa@endava.com,6/9/2025 13:51,6/9/2025 14:51
Giorgio Rinaldi,Training,6/9/2025,giorgio.rinaldi@endava.com,6/9/2025 13:58,6/9/2025 14:58
Stefano De Luca,Training,6/9/2025,stefano.de@endava.com,6/9/2025 14:02,6/9/2025 15:02
Nicola Moretti,Training,6/9/2025,nicola.moretti@endava.com,6/9/2025 14:04,6/9/2025 15:04
Luca Romano,Training,6/11/2025,luca.romano@endava.com,6/11/2025 13:58,6/11/2025 14:58
Marco Bianchi,Training,6/11/2025,marco.bianchi@endava.com,6/11/2025 13:51,6/11/2025 14:51
Giovanni Esposito,Training,6/11/2025,giovanni.esposito@endava.com,6/11/2025 14:05,6/11/2025 15:05
Antonio Russo,Training,6/11/2025,antonio.russo@endava.com,6/11/2025 13:52,6/11/2025 14:52
Francesco Greco,Training,6/11/2025,francesco.greco@endava.com,6/11/2025 13:59,6/11/2025 14:59
Matteo Conti,Training,6/11/2025,matteo.conti@endava.com,6/11/2025 14:03,6/11/2025 15:03
Alessandro Costa,Training,6/11/2025,alessandro.costa@endava.com,6/11/2025 13:55,6/11/2025 14:55
Giorgio Rinaldi,Training,6/11/2025,giorgio.rinaldi@endava.com,6/11/2025 13:53,6/11/2025 14:53
Stefano De Luca,Training,6/11/2025,stefano.de@endava.com,6/11/2025 13:58,6/11/2025 14:58
Nicola Moretti,Training,6/11/2025,nicola.moretti@endava.com,6/11/2025 13:56,6/11/2025 14:56
Luca Romano,Training,6/13/2025,luca.romano@endava.com,6/13/2025 14:05,6/13/2025 16:05
Marco Bianchi,Training,6/13/2025,marco.bianchi@endava.com,6/13/2025 13:54,6/13/2025 15:54
Giovanni Esposito,Training,6/13/2025,giovanni.esposito@endava.com,6/13/2025 13:50,6/13/2025 15:50
Antonio Russo,Training,6/13/2025,antonio.russo@endava.com,6/13/2025 14:05,6/13/2025 16:05
Francesco Greco,Training,6/13/2025,francesco.greco@endava.com,6/13/2025 13:56,6/13/2025 15:56
Matteo Conti,Training,6/13/2025,matteo.conti@endava.com,6/13/2025 14:01,6/13/2025 16:01
Alessandro Costa,Training,6/13/2025,alessandro.costa@endava.com,6/13/2025 14:01,6/13/2025 16:01
Giorgio Rinaldi,Training,6/13/2025,giorgio.rinaldi@endava.com,6/13/2025 14:04,6/13/2025 16:04
Stefano De Luca,Training,6/13/2025,stefano.de@endava.com,6/13/2025 14:05,6/13/2025 16:05
Nicola Moretti,Training,6/13/2025,nicola.moretti@endava.com,6/13/2025 13:57,6/13/2025 15:57
Luca Romano,Training,6/16/2025,luca.romano@endava.com,6/16/2025 13:54,6/16/2025 14:54
Marco Bianchi,Training,6/16/2025,marco.bianchi@endava.com,6/16/2025 13:50,6/16/2025 14:50
Giovanni Esposito,Training,6/16/2025,giovanni.esposito@endava.com,6/16/2025 13:50,6/16/2025 14:50
Antonio Russo,Training,6/16/2025,antonio.russo@endava.com,6/16/2025 13:54,6/16/2025 14:54
Francesco Greco,Training,6/16/2025,francesco.greco@endava.com,6/16/2025 14:01,6/16/2025 15:01
Matteo Conti,Training,6/16/2025,matteo.conti@endava.com,6/16/2025 13:57,6/16/2025 14:57
Alessandro Costa,Training,6/16/2025,alessandro.costa@endava.com,6/16/2025 14:00,6/16/2025 15:00
Giorgio Rinaldi,Training,6/16/2025,giorgio.rinaldi@endava.com,6/16/2025 13:59,6/16/2025 14:59
Stefano De Luca,Training,6/16/2025,stefano.de@endava.com,6/16/2025 14:03,6/16/2025 15:03
Nicola Moretti,Training,6/16/2025,nicola.moretti@endava.com,6/16/2025 13:50,6/16/2025 14:50
Luca Romano,Training,6/18/2025,luca.romano@endava.com,6/18/2025 14:02,6/18/2025 16:02
Marco Bianchi,Training,6/18/2025,marco.bianchi@endava.com,6/18/2025 13:50,6/18/2025 15:50
Giovanni Esposito,Training,6/18/2025,giovanni.esposito@endava.com,6/18/2025 14:05,6/18/2025 16:05
Antonio Russo,Training,6/18/2025,antonio.russo@endava.com,6/18/2025 13:58,6/18/2025 15:58
Francesco Greco,Training,6/18/2025,francesco.greco@endava.com,6/18/2025 14:02,6/18/2025 16:02
Matteo Conti,Training,6/18/2025,matteo.conti@endava.com,6/18/2025 14:01,6/18/2025 16:01
Alessandro Costa,Training,6/18/2025,alessandro.costa@endava.com,6/18/2025 13:53,6/18/2025 15:53
Giorgio Rinaldi,Training,6/18/2025,giorgio.rinaldi@endava.com,6/18/2025 14:03,6/18/2025 16:03
Stefano De Luca,Training,6/18/2025,stefano.de@endava.com,6/18/2025 13:54,6/18/2025 15:54
Nicola Moretti,Training,6/18/2025,nicola.moretti@endava.com,6/18/2025 13:50,6/18/2025 15:50
Luca Romano,Training,6/20/2025,luca.romano@endava.com,6/20/2025 13:59,6/20/2025 15:59
Marco Bianchi,Training,6/20/2025,marco.bianchi@endava.com,6/20/2025 13:54,6/20/2025 15:54
Giovanni Esposito,Training,6/20/2025,giovanni.esposito@endava.com,6/20/2025 13:57,6/20/2025 15:57
Antonio Russo,Training,6/20/2025,antonio.russo@endava.com,6/20/2025 14:03,6/20/2025 16:03
Francesco Greco,Training,6/20/2025,francesco.greco@endava.com,6/20/2025 13:56,6/20/2025 15:56
Matteo Conti,Training,6/20/2025,matteo.conti@endava.com,6/20/2025 13:59,6/20/2025 15:59
Alessandro Costa,Training,6/20/2025,alessandro.costa@endava.com,6/20/2025 13:59,6/20/2025 15:59
